"Date","Price","Open","High","Low","Change %"
"Nov 05, 2021","1.3484","1.3507","1.3510","1.3425","-0.10%"
"Nov 04, 2021","1.3498","1.3686","1.3699","1.3470","-1.36%"
"Nov 03, 2021","1.3684","1.3612","1.3693","1.3606","0.51%"
"Nov 02, 2021","1.3614","1.3665","1.3680","1.3605","-0.42%"
"Nov 01, 2021","1.3672","1.3683","1.3694","1.3642","-0.14%"
"Oct 29, 2021","1.3691","1.3791","1.3805","1.3668","-0.70%"
"Oct 28, 2021","1.3788","1.3749","1.3816","1.3721","0.31%"
"Oct 27, 2021","1.3746","1.3769","1.3782","1.3708","-0.15%"
"Oct 26, 2021","1.3766","1.3769","1.3830","1.3757","-0.01%"
"Oct 25, 2021","1.3768","1.3755","1.3793","1.3741","0.12%"
"Oct 22, 2021","1.3751","1.3792","1.3816","1.3736","-0.29%"
"Oct 21, 2021","1.3791","1.3824","1.3835","1.3776","-0.24%"
"Oct 20, 2021","1.3824","1.3797","1.3836","1.3742","0.21%"
"Oct 19, 2021","1.3795","1.3728","1.3835","1.3722","0.51%"
"Oct 18, 2021","1.3725","1.3751","1.3766","1.3708","-0.17%"
"Oct 15, 2021","1.3749","1.3673","1.3774","1.3667","0.56%"
"Oct 14, 2021","1.3673","1.3657","1.3736","1.3654","0.10%"
"Oct 13, 2021","1.3659","1.3588","1.3665","1.3576","0.54%"
"Oct 12, 2021","1.3585","1.3599","1.3638","1.3569","-0.07%"
"Oct 11, 2021","1.3595","1.3613","1.3675","1.3584","-0.12%"
"Oct 08, 2021","1.3611","1.3618","1.3657","1.3583","-0.04%"
"Oct 07, 2021","1.3617","1.3578","1.3640","1.3570","0.27%"
"Oct 06, 2021","1.3580","1.3632","1.3637","1.3543","-0.36%"
"Oct 05, 2021","1.3629","1.3615","1.3649","1.3584","0.12%"
"Oct 04, 2021","1.3613","1.3548","1.3641","1.3532","0.50%"
"Oct 01, 2021","1.3545","1.3472","1.3577","1.3434","0.54%"
"Sep 30, 2021","1.3472","1.3424","1.3519","1.3415","0.37%"
"Sep 29, 2021","1.3422","1.3535","1.3556","1.3412","-0.83%"
"Sep 28, 2021","1.3534","1.3699","1.3719","1.3520","-1.18%"
"Sep 27, 2021","1.3695","1.3680","1.3729","1.3657","0.10%"
"Sep 24, 2021","1.3682","1.3721","1.3737","1.3657","-0.25%"
"Sep 23, 2021","1.3716","1.3628","1.3751","1.3612","0.67%"
"Sep 22, 2021","1.3625","1.3658","1.3691","1.3609","-0.25%"
"Sep 21, 2021","1.3659","1.3657","1.3693","1.3641","0.01%"
"Sep 20, 2021","1.3657","1.3746","1.3755","1.3640","-0.62%"
"Sep 17, 2021","1.3742","1.3792","1.3814","1.3727","-0.33%"
"Sep 16, 2021","1.3788","1.3837","1.3853","1.3764","-0.35%"
"Sep 15, 2021","1.3837","1.3811","1.3855","1.3792","0.22%"
"Sep 14, 2021","1.3806","1.3835","1.3914","1.3802","-0.22%"
"Sep 13, 2021","1.3836","1.3843","1.3852","1.3796","-0.02%"
"Sep 10, 2021","1.3839","1.3838","1.3889","1.3826","0.03%"
"Sep 09, 2021","1.3835","1.3770","1.3864","1.3753","0.49%"
"Sep 08, 2021","1.3768","1.3788","1.3792","1.3726","-0.10%"
"Sep 07, 2021","1.3782","1.3836","1.3858","1.3767","-0.38%"
"Sep 06, 2021","1.3834","1.3863","1.3871","1.3819","-0.22%"
"Sep 03, 2021","1.3865","1.3833","1.3893","1.3817","0.26%"
"Sep 02, 2021","1.3829","1.3776","1.3841","1.3767","0.44%"
"Sep 01, 2021","1.3768","1.3753","1.3800","1.3730","0.10%"
"Aug 31, 2021","1.3754","1.3761","1.3807","1.3742","-0.03%"
"Aug 30, 2021","1.3758","1.3758","1.3776","1.3734","0.01%"
"Aug 27, 2021","1.3757","1.3698","1.3781","1.3679","0.42%"
"Aug 26, 2021","1.3699","1.3761","1.3770","1.3688","-0.44%"
"Aug 25, 2021","1.3759","1.3729","1.3767","1.3697","0.23%"
"Aug 24, 2021","1.3727","1.3717","1.3749","1.3693","0.07%"
"Aug 23, 2021","1.3717","1.3633","1.3734","1.3613","0.70%"
"Aug 20, 2021","1.3621","1.3642","1.3649","1.3601","-0.12%"
"Aug 19, 2021","1.3638","1.3757","1.3760","1.3632","-0.85%"
"Aug 18, 2021","1.3755","1.3741","1.3786","1.3727","0.12%"
"Aug 17, 2021","1.3739","1.3850","1.3855","1.3726","-0.80%"
"Aug 16, 2021","1.3850","1.3839","1.3879","1.3828","-0.09%"
"Aug 13, 2021","1.3863","1.3809","1.3876","1.3791","0.43%"
"Aug 12, 2021","1.3804","1.3873","1.3879","1.3794","-0.49%"
"Aug 11, 2021","1.3872","1.3845","1.3888","1.3802","0.21%"
"Aug 10, 2021","1.3843","1.3846","1.3873","1.3827","-0.01%"
"Aug 09, 2021","1.3844","1.3880","1.3895","1.3841","-0.19%"
"Aug 06, 2021","1.3871","1.3930","1.3937","1.3860","-0.41%"
"Aug 05, 2021","1.3928","1.3889","1.3950","1.3872","0.31%"
"Aug 04, 2021","1.3885","1.3916","1.3958","1.3885","-0.21%"
"Aug 03, 2021","1.3914","1.3883","1.3939","1.3879","0.24%"
"Aug 02, 2021","1.3881","1.3901","1.3934","1.3875","-0.14%"
"Jul 30, 2021","1.3901","1.3961","1.3985","1.3887","-0.43%"
"Jul 29, 2021","1.3961","1.3900","1.3983","1.3895","0.45%"
"Jul 28, 2021","1.3898","1.3881","1.3911","1.3844","0.17%"
"Jul 27, 2021","1.3874","1.3818","1.3895","1.3766","0.42%"
"Jul 26, 2021","1.3816","1.3754","1.3835","1.3736","0.52%"
"Jul 23, 2021","1.3745","1.3767","1.3781","1.3720","-0.13%"
"Jul 22, 2021","1.3763","1.3714","1.3787","1.3690","0.39%"
"Jul 21, 2021","1.3710","1.3629","1.3724","1.3591","0.62%"
"Jul 20, 2021","1.3626","1.3678","1.3690","1.3571","-0.34%"
