,Parity,Buy_on_day,Sell_on_day,Profit_in_Trade
0,USD_TRY,1,9,6.98257
1,USD_TRY,10,14,2.53153
2,GBP_TRY,15,20,5.82685
3,GBP_TRY,22,27,3.71582
4,XAU_TRY,28,30,1.55049
5,EUR_TRY,32,34,0.54675
6,XAU_TRY,35,38,2.47581
7,XAU_TRY,39,41,2.51527
8,XAU_TRY,42,47,10.82372
9,GBP_TRY,49,51,2.9775
10,GBP_TRY,52,53,1.50408
11,GBP_TRY,54,59,4.46352
12,GBP_TRY,60,62,1.08005
13,XAU_TRY,64,66,2.43374
14,XAU_TRY,68,69,0.59453
15,EUR_TRY,71,73,1.3727
16,XAU_TRY,77,79,2.31552
17,XAU_TRY,80,83,1.90845
18,EUR_TRY,86,88,2.67421
19,GBP_TRY,89,90,0.70485
20,GBP_TRY,93,94,0.51328
21,GBP_TRY,95,96,1.43209
22,GBP_TRY,97,98,0.75271
23,XAU_TRY,99,101,1.9202
24,GBP_TRY,102,104,0.63975
25,GBP_TRY,105,108,1.69194
26,USD_TRY,112,114,2.28817
27,GBP_TRY,115,116,1.09677
28,EUR_TRY,120,121,0.72109
29,USD_TRY,126,128,0.75695
30,USD_TRY,129,131,2.25163
31,EUR_TRY,133,134,0.56643
32,XAU_TRY,135,138,3.52085
33,USD_TRY,142,144,0.4859
34,XAU_TRY,148,152,2.42199
35,GBP_TRY,155,156,0.8764
36,EUR_TRY,157,161,0.84334
37,XAU_TRY,163,164,0.53367
38,GBP_TRY,165,170,3.34606
39,EUR_TRY,171,173,2.42694
40,EUR_TRY,175,176,0.75371
41,GBP_TRY,177,179,0.80505
42,EUR_TRY,180,181,0.51852
43,EUR_TRY,182,186,2.63807
44,GBP_TRY,188,192,1.0171
45,XAU_TRY,195,199,2.73274
46,XAU_TRY,201,203,0.96762
47,XAU_TRY,209,210,1.65137
48,XAU_TRY,211,213,1.14152
49,XAU_TRY,214,216,1.35211
50,EUR_TRY,217,219,0.58795
51,GBP_TRY,220,228,6.08967
52,USD_TRY,229,230,1.52165
53,USD_TRY,231,232,0.98803
54,USD_TRY,235,241,4.15041
55,XAU_TRY,242,244,0.63876
56,GBP_TRY,248,253,4.81551
57,GBP_TRY,254,257,1.54805
58,GBP_TRY,258,259,2.48034
59,USD_TRY,260,261,1.47335
60,EUR_TRY,262,266,2.27526
61,GBP_TRY,268,271,2.76633
62,EUR_TRY,272,274,1.57599
63,GBP_TRY,275,277,2.11457
64,USD_TRY,281,283,0.48642
65,XAU_TRY,285,286,0.44453
66,GBP_TRY,287,288,2.05238
67,EUR_TRY,290,291,0.57611
68,XAU_TRY,292,294,0.62063
