"Date","Price","Open","High","Low","Change %"
"Nov 05, 2021","9.6980","9.6850","9.7480","9.6713","0.06%"
"Nov 04, 2021","9.6917","9.6447","9.7748","9.6236","0.65%"
"Nov 03, 2021","9.6290","9.6034","9.7757","9.5774","0.36%"
"Nov 02, 2021","9.5944","9.5393","9.6171","9.4570","0.65%"
"Nov 01, 2021","9.5325","9.6070","9.6204","9.4792","-0.73%"
"Oct 29, 2021","9.6030","9.5435","9.6367","9.5002","0.81%"
"Oct 28, 2021","9.5262","9.4960","9.6377","9.4653","0.50%"
"Oct 27, 2021","9.4789","9.5438","9.5579","9.4485","-0.57%"
"Oct 26, 2021","9.5335","9.5884","9.6318","9.3990","-0.50%"
"Oct 25, 2021","9.5811","9.6049","9.8595","9.5296","0.06%"
"Oct 22, 2021","9.5757","9.5189","9.6650","9.4760","0.74%"
"Oct 21, 2021","9.5050","9.2163","9.5532","9.1961","3.21%"
"Oct 20, 2021","9.2098","9.3016","9.3619","9.1955","-0.88%"
"Oct 19, 2021","9.2918","9.3343","9.3823","9.2400","-0.35%"
"Oct 18, 2021","9.3248","9.2608","9.3667","9.2341","0.79%"
"Oct 15, 2021","9.2517","9.1876","9.2836","9.1663","0.84%"
"Oct 14, 2021","9.1750","9.0675","9.2083","9.0564","1.04%"
"Oct 13, 2021","9.0806","9.0428","9.1149","9.0013","0.52%"
"Oct 12, 2021","9.0340","8.9997","9.0542","8.9780","0.50%"
"Oct 11, 2021","8.9890","8.9822","9.0209","8.9085","0.31%"
"Oct 08, 2021","8.9614","8.8772","8.9900","8.8497","1.03%"
"Oct 07, 2021","8.8697","8.8775","8.9109","8.8372","0.00%"
"Oct 06, 2021","8.8695","8.8740","8.9447","8.8571","0.01%"
"Oct 05, 2021","8.8688","8.8579","8.9002","8.8372","0.19%"
"Oct 04, 2021","8.8521","8.8615","8.8871","8.8230","-0.04%"
"Oct 01, 2021","8.8552","8.8909","8.9072","8.8132","-0.35%"
"Sep 30, 2021","8.8862","8.9239","8.9447","8.8505","-0.28%"
"Sep 29, 2021","8.9111","8.8767","8.9607","8.8250","0.51%"
"Sep 28, 2021","8.8657","8.8224","8.8979","8.8113","0.58%"
"Sep 27, 2021","8.8146","8.8833","8.9027","8.8062","-0.72%"
"Sep 24, 2021","8.8786","8.7680","8.9010","8.7472","1.33%"
"Sep 23, 2021","8.7622","8.6572","8.8099","8.6167","1.38%"
"Sep 22, 2021","8.6431","8.6275","8.6741","8.5918","0.27%"
"Sep 21, 2021","8.6200","8.6714","8.6840","8.5778","-0.47%"
"Sep 20, 2021","8.6604","8.6461","8.7311","8.6313","0.37%"
"Sep 17, 2021","8.6283","8.5306","8.6643","8.4930","1.22%"
"Sep 16, 2021","8.5241","8.4354","8.5497","8.4154","1.16%"
"Sep 15, 2021","8.4263","8.4417","8.4681","8.4073","-0.02%"
"Sep 14, 2021","8.4276","8.4277","8.4759","8.4003","0.10%"
"Sep 13, 2021","8.4195","8.4694","8.4843","8.4105","-0.42%"
"Sep 10, 2021","8.4553","8.4366","8.4830","8.3792","0.29%"
"Sep 09, 2021","8.4305","8.4734","8.5257","8.4239","-0.35%"
"Sep 08, 2021","8.4597","8.3532","8.4906","8.3324","1.38%"
"Sep 07, 2021","8.3447","8.2818","8.3572","8.2600","0.82%"
"Sep 06, 2021","8.2771","8.3236","8.3382","8.2600","-0.33%"
"Sep 03, 2021","8.3049","8.2781","8.3519","8.2552","0.39%"
"Sep 02, 2021","8.2729","8.2967","8.3149","8.2556","-0.22%"
